"trial_type","trial_index","time_elapsed","internal_node_id","rt","responses","partNum","view_history","key_press","images","key_choice","image_i_chosen","feedback_correct","phase","correct_stim","correct","score"
"pavlovia","0","5","0.0-0.0","","","","","","","","","","","","",""
"survey-text","1","33578","0.0-1.0","33571","{""Q0"":""1""}","""1""","","","","","","","","","",""
"instructions","2","96630","0.0-2.0-0.0","63051","","","[{""page_index"":0,""viewing_time"":3282},{""page_index"":1,""viewing_time"":38177},{""page_index"":2,""viewing_time"":16228},{""page_index"":3,""viewing_time"":5362}]","","","","","","","","",""
"two-choice","3","99709","0.0-3.0-0.0","1565","","","","2","images/slot1_up.png,images/slot2_up.png","1","1","1","trial","1","1","1"
"two-choice","4","103143","0.0-3.1-0.1","1152","","","","0","images/slot2_up.png,images/slot1_up.png","0","1","1","trial","1","1","2"
"two-choice","5","106231","0.0-3.2-0.2","805","","","","0","images/slot1_up.png,images/slot2_up.png","0","0","1","trial","0","1","3"
"two-choice","6","109029","0.0-3.3-0.3","516","","","","2","images/slot2_up.png,images/slot1_up.png","1","0","1","trial","0","1","4"
"two-choice","7","111863","0.0-3.4-0.4","549","","","","0","images/slot1_up.png,images/slot2_up.png","0","0","1","trial","0","1","5"
"two-choice","8","114679","0.0-3.5-0.5","540","","","","2","images/slot2_up.png,images/slot1_up.png","1","0","1","trial","0","1","6"
"two-choice","9","117420","0.0-3.6-0.6","468","","","","0","images/slot2_up.png,images/slot1_up.png","0","1","0","trial","0","0","6"
"two-choice","10","120236","0.0-3.7-0.7","537","","","","2","images/slot1_up.png,images/slot2_up.png","1","1","0","trial","0","0","6"
"two-choice","11","123095","0.0-3.8-0.8","577","","","","2","images/slot2_up.png,images/slot1_up.png","1","0","1","trial","0","1","7"
"two-choice","12","125903","0.0-3.9-0.9","525","","","","2","images/slot1_up.png,images/slot2_up.png","1","1","0","trial","0","0","7"
"two-choice","13","128582","0.0-3.10-0.10","404","","","","0","images/slot1_up.png,images/slot2_up.png","0","0","1","trial","0","1","8"
"two-choice","14","131915","0.0-3.11-0.11","1057","","","","0","images/slot1_up.png,images/slot2_up.png","0","0","1","trial","0","1","9"
"two-choice","15","134663","0.0-3.12-0.12","467","","","","2","images/slot2_up.png,images/slot1_up.png","1","0","1","trial","0","1","10"
"two-choice","16","137325","0.0-3.13-0.13","397","","","","2","images/slot2_up.png,images/slot1_up.png","1","0","1","trial","0","1","11"
"two-choice","17","140011","0.0-3.14-0.14","405","","","","0","images/slot1_up.png,images/slot2_up.png","0","0","1","trial","0","1","12"
"two-choice","18","142743","0.0-3.15-0.15","452","","","","0","images/slot1_up.png,images/slot2_up.png","0","0","1","trial","0","1","13"
"two-choice","19","145525","0.0-3.16-0.16","510","","","","0","images/slot1_up.png,images/slot2_up.png","0","0","0","trial","1","0","13"
"two-choice","20","148315","0.0-3.17-0.17","512","","","","0","images/slot1_up.png,images/slot2_up.png","0","0","0","trial","1","0","13"
"two-choice","21","151639","0.0-3.18-0.18","1058","","","","2","images/slot2_up.png,images/slot1_up.png","1","0","1","trial","0","1","14"
"two-choice","22","154711","0.0-3.19-0.19","793","","","","0","images/slot1_up.png,images/slot2_up.png","0","0","0","trial","1","0","14"
"two-choice","23","157534","0.0-3.20-0.20","542","","","","0","images/slot2_up.png,images/slot1_up.png","0","1","1","trial","1","1","15"
