trial_type,trial_index,time_elapsed,internal_node_id,rt,responses,partNum,view_history,key_press,images,key_choice,image_i_chosen,feedback_correct,phase,correct_stim,correct,score
pavlovia,0,5,0.0-0.0,,,,,,,,,,,,,
survey-text,1,94144,0.0-1.0,94138,{"Q0":"38"},"728",,,,,,,,,,
instructions,2,127741,0.0-2.0-0.0,33595,,,"[{""page_index"":0,""viewing_time"":15216},{""page_index"":1,""viewing_time"":8673},{""page_index"":2,""viewing_time"":7402},{""page_index"":3,""viewing_time"":2303}]",,,,,,,,,
two-choice,3,1,0.0-3.3-0.,1200.48158914273,,,,,,,1,1,trial,,1,1
two-choice,4,1,0.0-3.4-0.,1915.35451257937,,,,,,,1,1,trial,,1,2
two-choice,5,1,0.0-3.5-0.,1659.96299314247,,,,,,,1,0,trial,,0,2
two-choice,6,1,0.0-3.6-0.,2250.73722051468,,,,,,,0,0,trial,,0,2
two-choice,7,1,0.0-3.7-0.,750.445375755135,,,,,,,1,0,trial,,0,2
two-choice,8,1,0.0-3.8-0.,1860.57574032736,,,,,,,1,0,trial,,0,2
two-choice,9,1,0.0-3.9-0.,1624.92568012874,,,,,,,0,1,trial,,1,3
two-choice,10,1,0.0-3.10-0.,1569.76937561166,,,,,,,0,1,trial,,1,4
two-choice,11,1,0.0-3.11-0.,1875.6752193546,,,,,,,1,1,trial,,1,5
two-choice,12,1,0.0-3.12-0.,1715.3370489948,,,,,,,0,0,trial,,0,5
two-choice,13,1,0.0-3.13-0.,1370.12654577183,,,,,,,0,1,trial,,1,6
two-choice,14,1,0.0-3.14-0.,1890.16492218013,,,,,,,0,0,trial,,0,6
two-choice,15,1,0.0-3.15-0.,1855.15007269851,,,,,,,1,1,trial,,1,7
two-choice,16,1,0.0-3.16-0.,1775.50815589257,,,,,,,1,0,trial,,0,7
two-choice,17,1,0.0-3.17-0.,1025.20915541106,,,,,,,0,0,trial,,0,7
two-choice,18,1,0.0-3.18-0.,2155.63858205837,,,,,,,1,0,trial,,0,7
two-choice,19,1,0.0-3.19-0.,2536.3907408219,,,,,,,1,0,trial,,0,7
two-choice,20,1,0.0-3.20-0.,1954.96895141321,,,,,,,1,1,trial,,1,8
two-choice,21,1,0.0-3.21-0.,1180.25245386912,,,,,,,1,1,trial,,1,9
two-choice,22,1,0.0-3.22-0.,1279.78292981703,,,,,,,0,0,trial,,0,9
two-choice,23,1,0.0-3.23-0.,1440.2258092216,,,,,,,1,0,trial,,0,9
two-choice,24,1,0.0-3.24-0.,1109.8194982734,,,,,,,0,1,trial,,1,10
two-choice,25,1,0.0-3.25-0.,1574.72946842228,,,,,,,1,1,trial,,1,11
two-choice,26,1,0.0-3.26-0.,870.562229599727,,,,,,,1,1,trial,,1,12
two-choice,27,1,0.0-3.27-0.,1645.94538680575,,,,,,,1,0,trial,,0,12
two-choice,28,1,0.0-3.28-0.,1230.42946287882,,,,,,,1,1,trial,,1,13
two-choice,29,1,0.0-3.29-0.,1839.88610264601,,,,,,,0,0,trial,,0,13
two-choice,30,1,0.0-3.30-0.,1884.94504949045,,,,,,,1,0,trial,,0,13
two-choice,31,1,0.0-3.31-0.,1614.93593002098,,,,,,,1,0,trial,,0,13
two-choice,32,1,0.0-3.32-0.,1219.76399523339,,,,,,,1,0,trial,,0,13
two-choice,33,1,0.0-3.33-0.,614.839554222044,,,,,,,0,0,trial,,0,13
two-choice,34,1,0.0-3.34-0.,625.365530579586,,,,,,,1,0,trial,,0,13
two-choice,35,1,0.0-3.35-0.,1659.91625450312,,,,,,,1,0,trial,,0,13
two-choice,36,1,0.0-3.36-0.,1115.37088921892,,,,,,,1,0,trial,,0,13
two-choice,37,1,0.0-3.37-0.,3095.66602379903,,,,,,,0,1,trial,,1,14
two-choice,38,1,0.0-3.38-0.,1624.87966611945,,,,,,,1,1,trial,,1,15
two-choice,39,1,0.0-3.39-0.,1930.69275721382,,,,,,,1,1,trial,,1,16
two-choice,40,1,0.0-3.40-0.,2135.63879220106,,,,,,,1,1,trial,,1,17
two-choice,41,1,0.0-3.41-0.,1385.4401529839,,,,,,,1,1,trial,,1,18
two-choice,42,1,0.0-3.42-0.,779.7490533614,,,,,,,1,0,trial,,0,18
two-choice,43,1,0.0-3.43-0.,800.47347328599,,,,,,,0,0,trial,,0,18
